1," ,rt @sza: its like w less ppl outside we all have a chance to let our auras breathe and feel our true feelings instead of being tied into s",0,,
2," ,rt @realrarety: hey everybody imma dirty bitch",0,,
3," ,rt @aria66369199: do not mess with a girl of short height. 5 feet 2 inch but attitude 6 feet 1.#asimanshidebut",0,,
4," ,@rydo90 same https://t.co/mimjh0kky2",1,,
5," ,rt @faiza_baby: this is so so sad. how is anyone meant to find a new job in this climate?",0,,
6," ,@kofoworola__a happy birthday tout damsel wishing you long life and prosperity  have sense this time",0,,
7," ,@gerald2dg 8 mins ago lol",0,,
8," ,rt @ajibadee_: me and my virgin wife sneaking out of our wedding to finally have sex https://t.co/nolieb6yin",0,,
9," ,@hoshihaebaragi why is he high like this",0,,
10," ,rt @chelle2x: corona time  https://t.co/ixbmhvcfoy",1,,
11," ,rt @iamdesibanks: i pray that every individual be protected in jesus name, amen!",1,,
12," ,rt @damienjhuot: quarantine idea: go through your camera roll and finally delete all that extra shit you have lmao",0,,
13," ,@jeffersonlink1 @kaillowry lol, then why did you save a copy of it???",0,,
14," ,rt @hwolfyy: why coronavirus gotta hit right when i started getting my shit together",0,,
15," ,omfg",0,,
16," ,rt @rev_mente: did you do a story about makro when investors packed stores without musk's and gives, buying  in bulks after their overseas",1,,
17," ,@resellcalendar school photographer, everything canceled, i have no idea what to do once im out of emergency funds https://t.co/0vpdk5kwgv",0,,
18," ,rt @queennkck: imagine me riding you like thisrt and like for a free nude in your dm must be following https://t.co/wrk0pseesg",0,,
19," ,@deluxeomen @theestallion say it",1,,
20," ,@skzjyunho last time they did that people got to dance with ateez vic",1,,
21," ,rt @thegame: netflix... you know we stuck in the fuckin house... drop sumn new before i get mad !",0,,
22," ,looll watching house hunters intl (cuz ofc) and the couple was like this is really noisy. is it always gonna be this noisy? and the realtor was like its noisy today. itll be noisy tomorrow, and itll probably be noisy next week. like why dont you just say a simple yes",0,,
23," ,rt @legsslikewhoa: *day 5 of being quarantined*me and my family:https://t.co/qpgr5pugpb",0,,
24," ,verizon know they too damn high i wasnt paying that shit anyway tbh",0,,
25," ,rt @michellcclark: and here we have a rare case of a creature being held accountable for the mess that it made https://t.co/0z6a9j3axw",1,,
26," ,rt @mickakers: the las vegas strip at 4:30 pm on st. patricks day. #vegas #coronavirus #tourism https://t.co/fexlddrdvw",0,,
27," ,not anymore",1,,
28," ,rt @bts_twt: thanks kaws x_x#expandedholiday https://t.co/smtezmcnvt",1,,
29," ,rt @simoncosgrove: mark gallagher, a consultant cardiologist, is at home with a temperature of 38 and is pretty certain he has covid-19. b",1,,
30," ,rt @brunobaba11: whats the funniest armpit joke you know? click the link below to watch my best armpit jokes videohttps://t.co/bc73y",1,,
31," ,rt @30secfights: im posting this every time i see it idc  https://t.co/qaahsdkjwf",0,,
32," ,rt @londonaffair: she just waiting for somebody to have a problem with her, i know these types",0,,
33," ,shi ne.",1,,
34," ,@shenoykaran @rupamrr the logic still works manone of people are jobless - the other follows himi never said anything wrong in following people though i dont",1,,
35," ,rt @segalink: sometimes the gravity your challenges forces you to innovate &amp; be stronger than ever before. just look at china and learn. if",1,,
36," ,wed 03:30: mostly cloudy; temp -1.8 c; windchill -10; wind s 41 km/h gust 56 km/h; humidity 77%; press 102.8 kpa / falling. https://t.co/8jgwuwfpvn",1,,
37," ,oprah: u get a kid and u get a kid, u all kidspedos: https://t.co/s3j8tw5lx0",1,,
38," ,thats the only reason",1,,
39," ,rt @joncoopertweets: with all due respect, @berniesanders, its time for you to end your campaign and endorse the certain democratic nomine",1,,
40," ,rt @staysocky: i'm testing more buttons &amp; this one's really good https://t.co/32f31nckfb",1,,
41," ,rt @evidencemanala: while school's are being closed, let's pray for those women who sell food at schools to make a living and those who e",1,,
42," ,@itswysdumb revelation 6",1,,
43," ,rt @spaceshipiii: corona virus entering my body and looking at my immune systema nd deficiencies: damn bitch you live like this ? https://t",0,,
44," ,rt @popcrave: .@charli_xcx reveals plans for next album in her quarantine diary. https://t.co/g9ecul6ljm",0,,
45," ,rt @realdreamgiri: omg i am obsessed https://t.co/ehy9iixgnn",0,,
46," ,rt @chrissyteigen: after we quote pack unquote sandwiches can we please have covid tests",0,,
